CO,NO2,Ozone,PM10,PM25,Datetime,Lat,Lon
205.28,0.38,92.98,13.72,6.45,"30/08/2023,20:48:16",35.7749,27.6359
148.54,0.19,62.23,2.04,1.12,"30/08/2023,20:47:40",35.8269,-143.1138
145.2,0.19,57.94,4.34,1.38,"30/08/2023,20:48:12",36.8477,-145.8185
250.34,0.14,37.91,16.16,5.04,"30/08/2023,20:47:32",37.3198,-60.5306
236.99,6.43,150.2,45.51,36.74,"30/08/2023,20:47:05",37.4391,103.2519
201.94,0.17,46.49,16.76,4.4,"30/08/2023,20:47:01",37.4657,-57.7041
226.97,0.18,34.69,28.14,5.69,"30/08/2023,20:48:18",37.6879,-64.232
297.07,0.73,80.11,10.45,8.43,"30/08/2023,20:47:06",37.7838,-74.2238
200.27,2.27,81.54,5.95,5.06,"30/08/2023,20:48:31",38.0326,42.8713
216.96,7.11,51.5,10.49,8.67,"30/08/2023,20:47:43",38.121,36.5596
196.93,0.16,64.37,3.77,1.98,"30/08/2023,20:48:33",38.1684,-41.0822
161.89,0.48,46.49,4.47,2.28,"30/08/2023,20:47:31",38.2496,70.3722
230.31,0.39,72.96,50.24,9.71,"30/08/2023,20:47:35",38.2941,55.596
206.95,3.13,67.95,4.18,3.13,"30/08/2023,20:47:40",38.6984,39.6546
236.99,0.22,60.8,7.39,1.67,"30/08/2023,20:48:41",39.2137,169.0195
216.96,0.59,84.4,9.73,3.15,"30/08/2023,20:47:38",39.2183,8.8286
195.27,0.34,79.39,1.29,0.94,"30/08/2023,20:48:32",39.2751,-0.9919
200.27,0.35,85.12,0.66,0.54,"30/08/2023,20:48:12",39.829,-6.3128
175.24,0.03,16.99,1.8,1.1,"30/08/2023,20:48:08",4.2385,71.5542
340.46,0.14,40.41,7.53,4.12,"30/08/2023,20:48:25",4.3794,0.2319
310.42,0.02,24.68,4.24,1.75,"30/08/2023,20:47:40",4.4138,-51.6437
247.0,0.04,23.6,0.91,0.6,"30/08/2023,20:47:30",4.4465,-79.4473
170.23,0.08,21.64,2.86,1.21,"30/08/2023,20:47:00",4.6907,79.1374
180.24,0.05,34.33,6.12,2.28,"30/08/2023,20:48:33",4.9148,85.2033
240.33,0.61,70.1,1.48,1.18,"30/08/2023,20:48:18",40.2298,-82.9257
634.19,29.82,2.66,70.61,65.95,"30/08/2023,20:47:17",40.3555,123.6318
213.62,0.64,33.62,21.42,7.93,"30/08/2023,20:48:14",41.0374,-64.7876
230.31,0.41,65.09,6.53,3.13,"30/08/2023,20:47:36",41.1361,153.4212
236.99,0.27,85.83,3.59,3.29,"30/08/2023,20:47:12",41.2252,40.7808
166.89,2.01,11.62,8.56,7.03,"30/08/2023,20:47:34",41.2483,125.5919
208.62,0.88,82.25,1.02,0.81,"30/08/2023,20:47:06",41.4463,0.9019
216.96,1.06,113.01,9.59,4.68,"30/08/2023,20:47:19",42.4224,7.9305
143.53,2.59,54.36,37.94,10.81,"30/08/2023,20:48:34",42.9762,85.0814
156.88,0.34,111.58,39.49,8.68,"30/08/2023,20:47:28",43.1091,-105.2442
190.26,0.37,80.82,19.69,4.83,"30/08/2023,20:48:01",43.1295,-161.8605
130.18,0.1,82.97,0.83,0.78,"30/08/2023,20:48:04",43.5279,-114.2243
206.95,0.68,98.71,3.54,2.5,"30/08/2023,20:46:58",43.7781,8.291
171.9,3.3,11.18,4.05,3.19,"30/08/2023,20:48:39",44.1522,119.6935
213.62,0.71,36.48,1.85,1.75,"30/08/2023,20:47:55",44.5678,-70.7912
236.99,0.34,50.78,33.44,6.43,"30/08/2023,20:48:26",44.8085,69.8294
226.97,0.33,100.14,7.09,1.93,"30/08/2023,20:47:21",45.1365,-1.8619
203.61,1.39,19.85,3.32,2.64,"30/08/2023,20:47:53",45.6719,23.6799
223.64,0.34,82.25,8.37,4.14,"30/08/2023,20:48:21",45.6968,170.4934
226.97,0.74,84.4,7.87,6.61,"30/08/2023,20:47:46",45.8374,29.5455
223.64,0.29,85.12,8.17,2.4,"30/08/2023,20:47:14",45.8968,168.3422
151.87,0.62,47.21,21.94,5.85,"30/08/2023,20:47:41",45.9475,101.0231
191.93,3.56,18.24,2.55,1.79,"30/08/2023,20:47:59",46.0881,12.8796
240.33,0.33,65.09,0.98,0.88,"30/08/2023,20:47:31",46.3566,50.0469
233.65,1.78,30.76,0.62,0.52,"30/08/2023,20:47:52",46.9826,-60.3973
223.64,0.31,84.4,10.24,3.6,"30/08/2023,20:48:31",47.0398,164.887
494.0,0.43,86.55,17.18,17.1,"30/08/2023,20:48:27",47.8634,-102.9084
243.66,1.0,47.92,0.91,0.86,"30/08/2023,20:48:11",48.5781,42.3769
203.61,0.31,44.7,1.58,1.57,"30/08/2023,20:47:32",48.6224,133.4068
171.9,0.59,48.64,0.5,0.5,"30/08/2023,20:48:28",48.6785,-113.2195
233.65,0.09,64.37,3.66,3.51,"30/08/2023,20:47:37",48.6878,-78.5508
236.99,0.54,50.78,1.74,1.66,"30/08/2023,20:48:15",48.892,41.258
236.99,0.12,66.52,5.0,4.82,"30/08/2023,20:48:20",48.9052,-78.1444
198.6,0.16,25.75,1.86,1.83,"30/08/2023,20:48:33",49.4056,131.5342
367.17,0.91,43.99,17.27,17.26,"30/08/2023,20:48:11",49.6919,-118.29
196.93,0.07,0.29,0.53,0.52,"30/08/2023,20:48:16",5.0558,29.0876
195.27,0.09,32.9,6.98,2.79,"30/08/2023,20:48:04",5.1368,122.7774
171.9,0.44,40.05,4.91,3.37,"30/08/2023,20:48:00",5.46,73.2397
283.72,0.0,19.67,10.16,2.99,"30/08/2023,20:48:36",5.5086,-130.1448
206.95,0.08,55.08,0.73,0.5,"30/08/2023,20:47:28",50.0833,-83.722
216.96,0.62,52.21,13.55,9.48,"30/08/2023,20:47:23",50.4935,-160.2558
236.99,0.1,44.35,9.91,5.43,"30/08/2023,20:48:40",51.2813,145.8598
205.28,0.44,26.82,3.0,2.98,"30/08/2023,20:47:57",51.8158,116.0636
236.99,0.38,64.37,4.23,1.63,"30/08/2023,20:47:11",51.8926,164.8203
213.62,0.42,55.08,2.68,1.94,"30/08/2023,20:47:53",52.3888,78.1544
226.97,0.21,45.42,1.81,1.73,"30/08/2023,20:47:28",52.4484,-56.1537
253.68,0.07,40.77,1.37,1.36,"30/08/2023,20:47:01",52.5552,-88.1437
594.14,2.29,37.19,13.44,13.42,"30/08/2023,20:48:10",52.7905,-121.3313
210.29,0.7,18.42,2.46,2.28,"30/08/2023,20:47:21",52.9523,43.838
216.96,0.07,28.97,3.73,1.49,"30/08/2023,20:47:23",53.0523,155.2698
216.96,0.13,50.78,6.75,2.39,"30/08/2023,20:47:41",53.5202,-166.8614
146.87,0.07,3.84,2.68,2.66,"30/08/2023,20:47:30",53.5417,93.98
240.33,0.25,61.51,13.33,6.07,"30/08/2023,20:48:44",53.5868,-38.4433
188.59,0.05,65.09,0.52,0.5,"30/08/2023,20:48:23",53.6431,-127.5508
211.95,3.3,64.37,3.95,3.21,"30/08/2023,20:48:20",53.8285,19.0375
236.99,0.17,37.19,5.25,5.09,"30/08/2023,20:47:24",53.9035,138.0196
220.3,0.09,26.82,1.79,1.39,"30/08/2023,20:47:54",54.5068,139.3562
223.64,0.65,71.53,8.8,8.48,"30/08/2023,20:47:05",54.5271,32.6781
203.61,0.32,63.66,1.4,1.22,"30/08/2023,20:48:43",55.5227,76.2433
213.62,0.37,80.82,3.26,1.53,"30/08/2023,20:48:17",55.932,-144.6139
201.94,0.11,32.19,2.53,2.47,"30/08/2023,20:47:39",56.2426,124.2661
213.62,0.54,66.52,4.5,3.08,"30/08/2023,20:47:02",56.4381,-150.2048
198.6,0.18,46.49,0.87,0.86,"30/08/2023,20:47:45",56.5129,93.9224
155.21,0.03,72.24,0.89,0.5,"30/08/2023,20:46:58",57.157,-128.9813
240.33,0.1,72.96,13.17,3.61,"30/08/2023,20:47:42",57.237,-31.7401
236.99,0.02,50.78,1.26,0.5,"30/08/2023,20:48:34",57.2422,-70.9241
195.27,0.48,48.64,0.93,0.91,"30/08/2023,20:48:44",57.374,21.1914
213.62,0.24,80.82,5.49,2.22,"30/08/2023,20:48:45",57.6074,-150.1864
223.64,0.35,90.84,3.28,1.46,"30/08/2023,20:48:37",57.9326,-141.039
226.97,0.17,57.22,2.43,1.87,"30/08/2023,20:47:29",58.2159,-27.8809
181.91,0.79,17.7,1.71,1.65,"30/08/2023,20:48:37",58.2494,22.9628
158.55,0.11,14.66,1.78,1.73,"30/08/2023,20:47:13",58.2995,115.6845
165.22,0.03,18.77,2.13,1.84,"30/08/2023,20:47:58",58.4356,110.0313
240.33,0.1,53.64,1.94,0.5,"30/08/2023,20:47:21",58.5185,-55.8611
185.25,0.09,69.38,0.67,0.5,"30/08/2023,20:48:18",59.0229,-134.0007
243.66,0.15,70.81,3.99,1.74,"30/08/2023,20:47:14",59.042,-16.2959
191.93,0.01,0.06,0.53,0.5,"30/08/2023,20:47:51",6.2191,24.9282
203.61,0.14,55.08,0.62,0.5,"30/08/2023,20:47:29",60.0268,-159.1852
267.03,0.34,67.95,4.38,2.71,"30/08/2023,20:48:14",60.816,-0.981
196.93,0.05,23.25,2.13,2.13,"30/08/2023,20:47:02",60.8653,105.7135
178.58,0.02,19.85,1.33,1.02,"30/08/2023,20:48:32",60.8794,150.7771
230.31,0.2,76.53,2.56,0.73,"30/08/2023,20:47:33",61.6707,-5.4275
236.99,0.14,80.11,2.72,1.64,"30/08/2023,20:47:00",61.7299,-28.5161
213.62,0.39,34.69,1.4,1.3,"30/08/2023,20:48:26",61.8961,76.5287
178.58,0.15,70.1,2.02,1.82,"30/08/2023,20:47:10",61.9547,-131.6562
195.27,0.03,38.98,1.37,0.5,"30/08/2023,20:47:43",62.0804,-100.8207
178.58,0.08,15.02,1.03,0.95,"30/08/2023,20:48:22",62.1796,81.1103
153.54,0.09,7.6,1.76,0.54,"30/08/2023,20:47:05",62.4457,159.9696
247.0,0.4,40.41,4.36,4.35,"30/08/2023,20:48:08",63.7753,119.9746
190.26,0.09,40.77,1.96,1.41,"30/08/2023,20:48:33",63.8857,156.5946
243.66,0.06,75.1,1.72,0.54,"30/08/2023,20:47:19",64.0449,-1.4498
210.29,0.11,31.83,0.74,0.73,"30/08/2023,20:48:15",64.7141,48.5845
190.26,0.04,19.85,1.46,0.5,"30/08/2023,20:47:18",65.1855,169.9311
423.91,0.33,43.27,23.65,23.64,"30/08/2023,20:48:30",65.1975,122.2572
287.06,0.46,58.65,11.22,9.96,"30/08/2023,20:48:19",65.4132,61.8612
196.93,3.09,33.98,1.48,1.06,"30/08/2023,20:47:18",65.5647,21.5835
327.11,0.02,80.11,1.4,1.39,"30/08/2023,20:47:26",65.6841,-41.977
193.6,0.06,27.9,0.52,0.5,"30/08/2023,20:47:10",66.2902,39.5904
327.11,0.21,22.53,12.87,12.87,"30/08/2023,20:47:16",66.4363,119.9366
230.31,0.2,30.76,3.5,1.42,"30/08/2023,20:47:59",66.6512,70.4456
213.62,0.02,80.82,0.51,0.5,"30/08/2023,20:47:55",66.689,-35.6414
357.15,0.11,26.11,9.63,9.12,"30/08/2023,20:47:26",67.1742,130.1145
185.25,0.02,16.09,0.51,0.5,"30/08/2023,20:48:36",67.3212,-131.7744
233.65,0.06,66.52,1.95,0.92,"30/08/2023,20:48:41",67.9486,-3.8977
188.59,0.03,37.55,1.52,0.5,"30/08/2023,20:48:43",68.0192,-144.3593
243.66,0.12,32.19,1.15,0.98,"30/08/2023,20:47:27",68.0617,-60.8529
223.64,0.05,65.8,2.01,0.6,"30/08/2023,20:47:01",68.5452,-169.252
206.95,0.04,30.4,3.85,0.85,"30/08/2023,20:47:22",69.0376,170.8459
211.95,0.05,41.13,2.27,0.61,"30/08/2023,20:47:20",69.0444,-133.0354
243.66,0.07,55.79,5.36,1.04,"30/08/2023,20:47:15",69.4181,86.4913
243.66,0.12,71.53,2.23,0.73,"30/08/2023,20:47:11",69.5891,54.7771
226.97,0.09,62.23,4.04,0.8,"30/08/2023,20:48:10",69.9922,-165.361
270.37,0.2,31.83,5.52,2.95,"30/08/2023,20:48:18",7.8834,-26.1996
233.65,0.03,81.54,2.66,0.5,"30/08/2023,20:48:09",70.5452,-117.2663
240.33,0.04,55.79,2.75,0.52,"30/08/2023,20:47:11",71.5705,124.8877
247.0,0.05,66.52,3.86,0.61,"30/08/2023,20:48:05",71.6847,79.0837
236.99,0.03,70.1,1.14,0.5,"30/08/2023,20:47:49",71.9455,-102.4219
216.96,0.04,36.84,0.79,0.72,"30/08/2023,20:48:41",72.3057,162.1862
260.35,0.03,49.35,3.59,0.68,"30/08/2023,20:48:22",72.9706,-21.7281
233.65,0.03,72.96,1.18,0.5,"30/08/2023,20:47:09",73.1599,-101.7645
240.33,0.02,42.2,0.67,0.5,"30/08/2023,20:47:44",73.3104,-66.8242
233.65,0.03,75.1,0.6,0.5,"30/08/2023,20:48:06",74.6263,-117.1429
240.33,0.02,60.8,1.26,0.5,"30/08/2023,20:47:36",74.9789,122.5965
243.66,0.05,62.94,0.63,0.5,"30/08/2023,20:47:29",75.0878,-70.06
233.65,0.06,57.94,1.75,0.5,"30/08/2023,20:48:38",75.2192,89.871
236.99,0.03,67.23,0.63,0.5,"30/08/2023,20:47:08",75.5986,85.5115
180.24,0.0,72.24,0.5,0.5,"30/08/2023,20:47:07",75.7224,-40.282
257.02,0.03,52.93,1.82,0.73,"30/08/2023,20:48:21",76.9005,-2.9037
240.33,0.06,65.8,4.02,1.04,"30/08/2023,20:48:13",77.1262,75.7842
233.65,0.06,57.22,1.3,1.19,"30/08/2023,20:48:09",77.7215,19.1963
236.99,0.03,60.08,4.99,0.97,"30/08/2023,20:47:17",79.4748,-86.6196
236.99,0.26,52.21,2.2,0.56,"30/08/2023,20:47:27",79.4758,87.5264
230.31,0.06,37.19,14.16,5.6,"30/08/2023,20:47:43",8.2498,113.9987
181.91,0.05,30.04,0.58,0.5,"30/08/2023,20:48:08",8.5198,-144.1512
226.97,0.09,33.62,16.8,6.95,"30/08/2023,20:47:07",8.7777,115.1667
427.25,0.05,59.37,25.82,19.22,"30/08/2023,20:47:19",8.8596,-77.0851
233.65,0.03,48.64,1.32,0.5,"30/08/2023,20:48:28",80.4092,134.6947
243.66,0.05,54.36,0.62,0.5,"30/08/2023,20:47:36",81.3677,21.5118
240.33,0.07,52.21,2.49,2.2,"30/08/2023,20:48:37",81.4822,44.6679
240.33,0.04,90.12,0.55,0.5,"30/08/2023,20:47:55",81.6678,-92.2442
240.33,0.03,62.23,0.65,0.5,"30/08/2023,20:48:21",81.8525,-19.2179
233.65,0.03,44.35,0.55,0.5,"30/08/2023,20:48:29",81.8828,-178.7472
243.66,0.04,72.24,0.72,0.5,"30/08/2023,20:47:02",82.1325,80.776
233.65,0.04,77.25,0.56,0.5,"30/08/2023,20:48:35",82.6619,-60.1047
236.99,0.04,77.25,0.55,0.5,"30/08/2023,20:47:46",82.761,-57.3182
236.99,0.04,67.95,0.53,0.5,"30/08/2023,20:47:14",82.9524,-135.1271
230.31,0.03,87.98,0.54,0.5,"30/08/2023,20:48:23",82.9828,-86.3521
236.99,0.04,53.64,0.6,0.5,"30/08/2023,20:47:48",83.0867,153.6922
236.99,0.04,55.79,0.77,0.5,"30/08/2023,20:48:08",84.0987,140.2164
236.99,0.04,72.24,0.55,0.5,"30/08/2023,20:48:10",84.6894,-162.9015
233.65,0.04,60.08,0.53,0.5,"30/08/2023,20:48:06",85.1583,-150.0735
247.0,0.03,72.96,0.56,0.5,"30/08/2023,20:48:25",85.7455,102.7028
250.34,0.04,75.1,0.63,0.5,"30/08/2023,20:48:25",86.001,89.8327
236.99,0.03,61.51,0.59,0.5,"30/08/2023,20:48:26",86.1522,-41.03
257.02,0.04,50.07,0.91,0.86,"30/08/2023,20:48:13",86.7416,4.1912
257.02,0.04,51.5,0.78,0.7,"30/08/2023,20:48:17",86.8736,12.7901
243.66,0.03,75.1,0.57,0.5,"30/08/2023,20:46:59",88.0569,-103.5071
240.33,0.03,63.66,0.53,0.5,"30/08/2023,20:48:02",88.3928,127.0585
250.34,0.04,69.38,0.59,0.5,"30/08/2023,20:47:06",88.5195,93.0671
247.0,0.04,65.8,0.61,0.5,"30/08/2023,20:47:16",88.5337,65.6153
243.66,0.03,68.67,0.59,0.5,"30/08/2023,20:47:32",88.9687,-67.6973
240.33,0.04,76.53,0.54,0.5,"30/08/2023,20:47:36",88.9904,170.8433
247.0,0.03,76.53,0.57,0.5,"30/08/2023,20:47:45",89.1528,-120.6738
0.0,0.0,0.0,0.0,0.0,"30/08/2023,20:48:13",89.6419,-117.539
0.0,0.0,0.0,0.0,0.0,"30/08/2023,20:47:48",89.9043,-168.7046
193.6,0.04,17.7,0.63,0.5,"30/08/2023,20:48:35",9.2012,158.085
205.28,0.12,33.98,5.87,4.09,"30/08/2023,20:46:59",9.481,134.3246
205.28,0.33,29.68,4.7,2.34,"30/08/2023,20:47:09",9.6613,96.4982
226.97,0.04,25.75,7.02,5.56,"30/08/2023,20:47:19",9.7928,-36.2848
