CO,NO2,Ozone,PM10,PM25,Datetime,Lat,Lon
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:17",34.4756,69.1264
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:16",34.5144,69.1373
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:17",34.5167,69.1297
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:18",34.5353,69.0733
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:17",34.535,69.1197
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:17",34.5367,69.144
4005.43,46.61,62.23,31.44,25.5,"29/08/2023,17:14:17",34.5494,69.1526
223.64,1.35,88.69,5.49,4.04,"29/08/2023,17:14:18",41.3178,19.8203
