,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
6515,Italy,Ventimiglia,66,Moderate,1,Good,38,Good,2,Good,66,Moderate,43.7903,7.6083
6522,Spain,Torrevieja,35,Good,1,Good,31,Good,3,Good,35,Good,37.9778,-0.6833
6523,Croatia,Trogir,43,Good,1,Good,43,Good,1,Good,35,Good,43.5169,16.2514
6542,Chile,Taltal,23,Good,1,Good,12,Good,2,Good,23,Good,-25.4,-70.47
6651,Syria,Jablah,56,Moderate,1,Good,45,Good,0,Good,56,Moderate,35.35,35.9167
6784,United Kingdom,Great Yarmouth,30,Good,0,Good,30,Good,3,Good,21,Good,52.606,1.729
6798,Brazil,Itaparica,22,Good,0,Good,18,Good,1,Good,22,Good,-12.8878,-38.6789
6825,United States of America,Eureka,31,Good,1,Good,31,Good,1,Good,26,Good,40.7943,-124.1564
6826,United States of America,Eureka,31,Good,1,Good,31,Good,1,Good,26,Good,38.5004,-90.6491
6861,Nigeria,Lagos,172,Unhealthy,7,Good,17,Good,9,Good,172,Unhealthy,6.455,3.3841
6862,Nigeria,Lagos,172,Unhealthy,7,Good,17,Good,9,Good,172,Unhealthy,37.1028,-8.6728
6921,Italy,Procida,57,Moderate,1,Good,57,Moderate,1,Good,39,Good,40.7667,14.0333
7065,Australia,Mandurah,51,Moderate,0,Good,36,Good,0,Good,51,Moderate,-32.5289,115.7231
7095,Brazil,Cabedelo,23,Good,0,Good,23,Good,0,Good,20,Good,-6.9808,-34.8339
7287,Brazil,Almeirim,47,Good,1,Good,4,Good,0,Good,47,Good,-1.5228,-52.5819
7288,Brazil,Almeirim,47,Good,1,Good,4,Good,0,Good,47,Good,39.2,-8.6167
7307,United States of America,Biloxi,27,Good,0,Good,27,Good,2,Good,22,Good,30.4426,-88.9514
7511,Myanmar,Mawlamyine,53,Moderate,0,Good,22,Good,0,Good,53,Moderate,16.4847,97.6258
7519,Tanzania,Mtwara,29,Good,0,Good,20,Good,0,Good,29,Good,-10.2736,40.1828
7543,Vanuatu,Luganville,22,Good,0,Good,22,Good,0,Good,17,Good,-15.5333,167.1667
7593,France,La Porte,85,Moderate,2,Good,14,Good,9,Good,85,Moderate,29.6689,-95.0484
7594,France,La Porte,85,Moderate,2,Good,14,Good,9,Good,85,Moderate,41.6069,-86.7142
7614,Mexico,Puerto Vallarta,61,Moderate,2,Good,12,Good,2,Good,61,Moderate,20.6458,-105.2222
7627,Australia,Port Hedland,16,Good,0,Good,16,Good,0,Good,16,Good,-20.31,118.6011
7786,United States of America,Dana Point,37,Good,1,Good,22,Good,9,Good,37,Good,33.4733,-117.6967
7813,Thailand,Don Sak,63,Moderate,1,Good,23,Good,0,Good,63,Moderate,9.3169,99.6944
7903,Finland,Hamina,35,Good,1,Good,35,Good,0,Good,18,Good,60.5667,27.2
7928,Dominican Republic,Puerto Plata,131,Unhealthy for Sensitive Groups,1,Good,18,Good,2,Good,131,Unhealthy for Sensitive Groups,19.8,-70.6833
7937,United Kingdom,Ramsgate,40,Good,1,Good,40,Good,1,Good,10,Good,51.336,1.416
7945,Spain,Rianxo,25,Good,1,Good,22,Good,3,Good,25,Good,42.65,-8.8167
7992,Netherlands,Urk,26,Good,1,Good,26,Good,5,Good,25,Good,52.6667,5.6
8029,United Kingdom,Colwyn Bay,30,Good,1,Good,30,Good,3,Good,28,Good,53.29,-3.7
8073,United States of America,Winthrop,45,Good,1,Good,40,Good,1,Good,45,Good,42.3761,-70.9846
8094,Costa Rica,Alvarado,79,Moderate,1,Good,20,Good,1,Good,79,Moderate,18.7811,-95.7572
8095,Costa Rica,Alvarado,79,Moderate,1,Good,20,Good,1,Good,79,Moderate,4.5667,-74.95
8154,Italy,Martinsicuro,59,Moderate,2,Good,36,Good,8,Good,59,Moderate,42.8833,13.9167
8233,Italy,Gallipoli,47,Good,1,Good,45,Good,0,Good,47,Good,40.4139,26.6703
8234,Italy,Gallipoli,47,Good,1,Good,45,Good,0,Good,47,Good,40.0556,17.9917
8298,United States of America,Seal Beach,81,Moderate,2,Good,17,Good,23,Good,81,Moderate,33.7542,-118.0714
8473,Finland,Naantali,36,Good,1,Good,36,Good,0,Good,6,Good,60.4667,22.0333
8529,India,Benaulim,56,Moderate,1,Good,19,Good,1,Good,56,Moderate,15.27,73.9346
8946,Brazil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,3.2167,-51.2167
8947,Brazil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,-20.3364,-40.2936
9005,Brazil,Ilhabela,65,Moderate,2,Good,10,Good,7,Good,65,Moderate,-23.7778,-45.3578
9028,Italy,Albenga,74,Moderate,1,Good,45,Good,1,Good,74,Moderate,44.05,8.2167
