,COUNTRY,CITY
0,Pakistan,Peshawar
1,Pakistan,Peshawar
2,Pakistan,Peshawar
3,Pakistan,Peshawar
4,Pakistan,Peshawar
5,Pakistan,Peshawar
6,Pakistan,Peshawar
7,Pakistan,Peshawar
8,North Macedonia,Lazaropole
9,North Macedonia,Lazaropole
10,North Macedonia,Lazaropole
11,North Macedonia,Lazaropole
12,France,Vitry-sur-Seine
13,North Macedonia,Lazaropole
14,North Macedonia,Lazaropole
15,North Macedonia,Lazaropole
16,North Macedonia,Lazaropole
17,North Macedonia,Lazaropole
18,North Macedonia,Lazaropole
19,North Macedonia,Lazaropole
20,North Macedonia,Lazaropole
21,North Macedonia,Lazaropole
22,North Macedonia,Lazaropole
23,Algeria,El Mouradia
24,Algeria,El Mouradia
25,Algeria,El Mouradia
26,Algeria,El Mouradia
27,Algeria,El Mouradia
28,Algeria,El Mouradia
29,Rwanda,Kigali
30,Argentina,Dock Sud
31,Argentina,Dock Sud
32,Argentina,Dock Sud
33,Argentina,Dock Sud
34,Argentina,San Antonio de Padua
35,Argentina,Dock Sud
36,Argentina,Dock Sud
37,Argentina,Dock Sud
38,Argentina,Dock Sud
39,Argentina,Dock Sud
40,Argentina,Dock Sud
41,Argentina,Dock Sud
42,Argentina,Dock Sud
43,Argentina,Dock Sud
44,Argentina,Dock Sud
45,Argentina,Dock Sud
46,Argentina,Dock Sud
47,Argentina,Dock Sud
48,Argentina,Dock Sud
49,Argentina,Dock Sud
50,Argentina,Dock Sud
51,Turkey,Aşağı Aratan
52,Turkey,Aşağı Aratan
53,Turkey,Aşağı Aratan
54,Turkey,Aşağı Aratan
55,Turkey,Aşağı Aratan
56,Turkey,Aşağı Aratan
57,Turkey,Aşağı Aratan
58,Turkey,Aşağı Aratan
59,Turkey,Aşağı Aratan
60,Turkey,Aşağı Aratan
61,Turkey,Aşağı Aratan
62,Turkey,Aşağı Aratan
63,Turkey,Aşağı Aratan
64,Turkey,Aşağı Aratan
65,Turkey,Aşağı Aratan
66,Turkey,Aşağı Aratan
67,Turkey,Aşağı Aratan
68,Turkey,Aşağı Aratan
69,Turkey,Aşağı Aratan
70,Turkey,Aşağı Aratan
71,Turkey,Aşağı Aratan
72,Turkey,Aşağı Aratan
73,Australia,Canberra
74,Australia,Canberra
75,Australia,Canberra
76,Australia,Canberra
77,Australia,Canberra
78,Australia,Canberra
79,Australia,Canberra
80,Australia,Canberra
81,Australia,Canberra
82,Austria,Vienna
83,Austria,Vienna
84,Austria,Vienna
85,Austria,Vienna
86,Austria,Gemeinde Klosterneuburg
87,Austria,Vienna
88,Austria,Vienna
89,Austria,Vienna
90,Austria,Vienna
91,Austria,Vienna
92,Austria,Vienna
93,Austria,Vienna
94,Austria,Vienna
95,Austria,Vienna
96,Austria,Vienna
97,Austria,Vienna
98,Austria,Vienna
99,Austria,Vienna
100,Austria,Vienna
101,Azerbaijan,Baku
102,Azerbaijan,Baku
103,Azerbaijan,Baku
104,Azerbaijan,Baku
105,Azerbaijan,Baku
106,Azerbaijan,Baku
107,Azerbaijan,Baku
108,Azerbaijan,Baku
109,Azerbaijan,Baku
110,Azerbaijan,Baku
111,Bahrain,Manama
112,Bahrain,Manama
